--- Events ---
LAST SEEN   TYPE      REASON                OBJECT                                                               MESSAGE
53m         Normal    Created               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Created container: manager
52m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-7fdfd5944c   Deleted pod: openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz
52m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Stopping container manager
52m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-s5jfz    Stopping container kube-rbac-proxy
52m         Normal    SuccessfulCreate      replicaset/openshift-gitops-operator-controller-manager-7fdfd5944c   Created pod: openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl
52m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Container image "registry.redhat.io/openshift-gitops-1/gitops-rhel9-operator@sha256:73b844f2dd5f2e2749c66024801ed59539aa363aa18052018b8b80ede0ea544e" already present on machine
52m         Normal    AddedInterface        pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Add eth0 [10.133.0.57/23] from ovn-kubernetes
52m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Started container kube-rbac-proxy
52m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Created container: kube-rbac-proxy
52m         Normal    Pulled                pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Container image "registry.redhat.io/openshift4/ose-kube-rbac-proxy-rhel9@sha256:b473bb5efee9fb78c1e654ef94da9213e29a8eccfda2e8359b7c1b6b4049b554" already present on machine
52m         Normal    Started               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Started container manager
52m         Normal    Created               pod/openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl    Created container: manager
52m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Stopping container kube-rbac-proxy
52m         Normal    Killing               pod/openshift-gitops-operator-controller-manager-fc7df578-ggftr      Stopping container manager
52m         Normal    SuccessfulDelete      replicaset/openshift-gitops-operator-controller-manager-fc7df578     Deleted pod: openshift-gitops-operator-controller-manager-fc7df578-ggftr
52m         Normal    LeaderElection        lease/2b63967d.openshift.io                                          openshift-gitops-operator-controller-manager-7fdfd5944c-7b8zl_c17cfbe0-42c5-4ed2-9b63-63b9a29652bc became leader
51m         Normal    Started               pod/openshift-gitops-operator-controller-manager-fc7df578-sk7fm      Started container kube-rbac-proxy
